epoch,all_agents,health,sick,death,quarantine,infected,recovered,all_health,all_sick,all_death,all_quarantine,all_infected,all_recovered
0,10000,0,0,0,0,453,0,0,0,0,0,453,0
1,9836,0,0,164,0,359,0,0,0,164,0,812,0
2,9703,0,0,133,0,407,0,0,0,297,0,1219,0
3,9583,0,0,120,0,334,0,0,0,417,0,1553,0
4,9462,0,0,121,0,301,0,0,0,538,0,1854,0
5,9358,0,47,104,0,315,0,0,47,642,0,2169,0
6,9273,0,54,85,0,262,0,0,101,727,0,2431,0
7,9182,0,98,91,1,247,0,0,199,818,1,2678,0
8,9090,0,118,92,2,218,0,0,317,910,3,2896,0
9,8986,0,151,104,1,220,0,0,468,1014,4,3116,0
10,8892,0,178,94,1,256,0,0,646,1108,5,3372,0
11,8762,0,222,130,2,207,0,0,868,1238,7,3579,0
12,8655,0,208,107,0,218,0,0,1076,1345,7,3797,0
13,8537,0,255,118,2,251,0,0,1331,1463,9,4048,0
14,8417,0,247,120,1,205,0,0,1578,1583,10,4253,0
15,8285,0,279,132,1,233,0,0,1857,1715,11,4486,0
16,8117,0,286,168,1,226,0,0,2143,1883,12,4712,0
17,7936,0,258,181,1,245,0,0,2401,2064,13,4957,0
18,7776,0,223,160,1,188,0,0,2624,2224,14,5145,0
19,7612,0,230,164,1,197,0,0,2854,2388,15,5342,0
20,7423,0,253,189,1,197,0,0,3107,2577,16,5539,0
21,7240,0,222,183,0,195,0,0,3329,2760,16,5734,0
22,7062,0,208,178,1,195,0,0,3537,2938,17,5929,0
23,6882,0,180,180,2,183,0,0,3717,3118,19,6112,0
24,6668,0,215,214,1,151,20,0,3932,3332,20,6263,20
25,6496,0,206,172,2,131,31,0,4138,3504,22,6394,51
26,6321,0,194,175,1,129,25,0,4332,3679,23,6523,76
27,6148,0,203,173,1,147,22,0,4535,3852,24,6670,98
28,5945,0,209,203,0,109,21,0,4744,4055,24,6779,119
29,5748,0,179,197,3,136,18,0,4923,4252,27,6915,137
30,5569,0,192,179,0,97,18,0,5115,4431,27,7012,155
31,5388,0,166,181,1,102,12,0,5281,4612,28,7114,167
32,5194,0,175,194,1,83,22,0,5456,4806,29,7197,189
33,5010,0,153,184,2,104,12,0,5609,4990,31,7301,201
34,4835,0,152,175,1,80,13,0,5761,5165,32,7381,214
35,4657,0,154,178,0,71,7,0,5915,5343,32,7452,221
36,4481,0,135,176,0,72,15,0,6050,5519,32,7524,236
37,4316,0,114,165,1,47,9,0,6164,5684,33,7571,245
38,4151,0,112,165,3,62,13,0,6276,5849,36,7633,258
39,3996,0,106,155,0,50,15,0,6382,6004,36,7683,273
40,3850,0,80,146,1,62,20,0,6462,6150,37,7745,293
41,3694,0,89,156,0,59,20,0,6551,6306,37,7804,313
42,3557,0,79,137,0,40,21,0,6630,6443,37,7844,334
43,3409,0,89,148,0,41,15,0,6719,6591,37,7885,349
44,3276,0,82,133,0,45,20,0,6801,6724,37,7930,369
45,3141,0,65,135,0,21,22,0,6866,6859,37,7951,391
46,3028,0,72,113,1,31,22,0,6938,6972,38,7982,413
47,2928,0,58,100,0,28,29,0,6996,7072,38,8010,442
48,2810,3,73,118,0,22,24,3,7069,7190,38,8032,466
49,2712,14,60,98,1,21,16,17,7129,7288,39,8053,482
50,2632,23,48,80,0,16,22,40,7177,7368,39,8069,504
51,2551,27,46,81,0,32,20,67,7223,7449,39,8101,524
52,2456,24,51,95,0,24,17,91,7274,7544,39,8125,541
53,2362,24,28,94,0,16,14,115,7302,7638,39,8141,555
54,2298,15,37,64,0,13,21,130,7339,7702,39,8154,576
55,2225,21,31,73,0,17,24,151,7370,7775,39,8171,600
56,2149,13,28,76,0,20,15,164,7398,7851,39,8191,615
57,2093,15,28,56,0,17,15,179,7426,7907,39,8208,630
58,2021,14,18,72,0,13,18,193,7444,7979,39,8221,648
59,1965,11,28,56,0,17,23,204,7472,8035,39,8238,671
60,1910,12,25,55,0,9,14,216,7497,8090,39,8247,685
61,1857,11,13,53,0,15,13,227,7510,8143,39,8262,698
62,1810,10,16,47,0,8,18,237,7526,8190,39,8270,716
63,1762,15,19,48,1,4,12,252,7545,8238,40,8274,728
64,1718,15,16,44,0,7,11,267,7561,8282,40,8281,739
65,1675,15,20,43,0,8,9,282,7581,8325,40,8289,748
66,1649,18,20,26,1,8,14,300,7601,8351,41,8297,762
67,1620,16,16,29,0,8,8,316,7617,8380,41,8305,770
68,1591,20,12,29,0,10,15,336,7629,8409,41,8315,785
69,1565,16,15,26,0,7,8,352,7644,8435,41,8322,793
70,1536,29,10,29,0,11,14,381,7654,8464,41,8333,807
71,1507,19,13,29,0,5,8,400,7667,8493,41,8338,815
72,1487,30,5,20,0,10,4,430,7672,8513,41,8348,819
73,1456,16,6,31,0,4,4,446,7678,8544,41,8352,823
74,1435,24,14,21,0,6,11,470,7692,8565,41,8358,834
75,1413,14,10,22,0,3,6,484,7702,8587,41,8361,840
76,1388,22,9,25,0,7,4,506,7711,8612,41,8368,844
77,1378,17,11,10,0,3,4,523,7722,8622,41,8371,848
78,1361,17,7,17,0,1,5,540,7729,8639,41,8372,853
79,1347,21,7,14,0,1,4,561,7736,8653,41,8373,857
80,1338,21,8,9,0,4,8,582,7744,8662,41,8377,865
81,1325,12,5,13,0,5,1,594,7749,8675,41,8382,866
82,1317,24,4,8,0,2,3,618,7753,8683,41,8384,869
83,1301,16,5,16,0,6,4,634,7758,8699,41,8390,873
84,1286,20,5,15,0,5,4,654,7763,8714,41,8395,877
85,1272,14,6,14,0,1,3,668,7769,8728,41,8396,880
86,1264,12,2,8,0,5,3,680,7771,8736,41,8401,883
87,1255,16,7,9,0,5,0,696,7778,8745,41,8406,883
88,1245,11,2,10,0,3,3,707,7780,8755,41,8409,886
89,1239,13,3,6,0,3,2,720,7783,8761,41,8412,888
90,1233,8,1,6,0,4,1,728,7784,8767,41,8416,889
91,1225,10,5,8,0,3,4,738,7789,8775,41,8419,893
92,1221,12,1,4,0,3,3,750,7790,8779,41,8422,896
93,1214,13,2,7,0,3,1,763,7792,8786,41,8425,897
94,1203,13,4,11,0,3,5,776,7796,8797,41,8428,902
95,1201,9,4,2,0,4,3,785,7800,8799,41,8432,905
96,1195,9,5,6,0,5,0,794,7805,8805,41,8437,905
97,1190,5,2,5,0,2,0,799,7807,8810,41,8439,905
98,1181,7,3,9,0,0,3,806,7810,8819,41,8439,908
99,1176,8,4,5,0,2,0,814,7814,8824,41,8441,908
100,1173,6,2,3,0,1,0,820,7816,8827,41,8442,908
101,1168,4,2,5,0,1,0,824,7818,8832,41,8443,908
102,1164,2,3,4,0,2,1,826,7821,8836,41,8445,909
103,1163,3,3,1,0,0,0,829,7824,8837,41,8445,909
104,1161,8,5,2,0,1,0,837,7829,8839,41,8446,909
105,1156,4,2,5,0,1,0,841,7831,8844,41,8447,909
106,1153,5,0,3,0,2,2,846,7831,8847,41,8449,911
107,1147,4,3,6,0,0,0,850,7834,8853,41,8449,911
108,1146,3,1,1,0,1,1,853,7835,8854,41,8450,912
109,1145,3,0,1,0,0,0,856,7835,8855,41,8450,912
110,1137,4,3,8,0,0,1,860,7838,8863,41,8450,913
111,1135,1,1,2,0,2,1,861,7839,8865,41,8452,914
112,1134,2,1,1,0,0,1,863,7840,8866,41,8452,915
113,1130,3,1,4,0,2,0,866,7841,8870,41,8454,915
114,1128,1,1,2,0,0,0,867,7842,8872,41,8454,915
115,1127,1,1,1,0,0,0,868,7843,8873,41,8454,915
116,1127,5,2,0,0,0,1,873,7845,8873,41,8454,916
117,1127,2,1,0,0,0,0,875,7846,8873,41,8454,916
118,1126,5,0,1,0,0,1,880,7846,8874,41,8454,917
119,1123,1,2,3,0,0,0,881,7848,8877,41,8454,917
120,1123,2,0,0,0,2,0,883,7848,8877,41,8456,917
121,1122,1,0,1,0,0,0,884,7848,8878,41,8456,917
122,1122,0,0,0,0,0,0,884,7848,8878,41,8456,917
123,1121,2,1,1,0,0,0,886,7849,8879,41,8456,917
124,1121,1,0,0,0,0,1,887,7849,8879,41,8456,918
125,1121,0,0,0,0,1,0,887,7849,8879,41,8457,918
126,1118,0,1,3,0,0,0,887,7850,8882,41,8457,918
127,1117,1,0,1,0,0,0,888,7850,8883,41,8457,918
128,1115,0,0,2,0,1,0,888,7850,8885,41,8458,918
129,1115,0,0,0,0,0,0,888,7850,8885,41,8458,918
130,1114,1,0,1,0,0,1,889,7850,8886,41,8458,919
131,1114,1,0,0,0,0,0,890,7850,8886,41,8458,919
132,1112,0,2,2,0,0,0,890,7852,8888,41,8458,919
133,1111,1,1,1,0,0,0,891,7853,8889,41,8458,919
134,1110,0,0,1,0,0,0,891,7853,8890,41,8458,919
135,1110,1,0,0,0,0,0,892,7853,8890,41,8458,919
136,1110,1,0,0,0,0,0,893,7853,8890,41,8458,919
137,1109,0,0,1,0,0,0,893,7853,8891,41,8458,919
138,1108,1,0,1,0,0,1,894,7853,8892,41,8458,920
139,1107,0,0,1,0,0,0,894,7853,8893,41,8458,920
140,1107,0,0,0,0,0,1,894,7853,8893,41,8458,921
141,1107,1,0,0,0,0,0,895,7853,8893,41,8458,921
142,1107,1,0,0,0,0,0,896,7853,8893,41,8458,921
143,1107,0,0,0,0,0,0,896,7853,8893,41,8458,921
144,1107,0,0,0,0,0,0,896,7853,8893,41,8458,921
145,1107,0,0,0,0,0,0,896,7853,8893,41,8458,921
146,1106,0,0,1,0,0,0,896,7853,8894,41,8458,921
147,1106,0,0,0,0,0,0,896,7853,8894,41,8458,921
148,1106,0,0,0,0,0,0,896,7853,8894,41,8458,921
149,1106,1,0,0,0,0,0,897,7853,8894,41,8458,921
150,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
151,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
152,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
153,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
154,1106,0,0,0,0,0,0,897,7853,8894,41,8458,921
155,1106,1,0,0,0,0,0,898,7853,8894,41,8458,921
156,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
157,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
158,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
159,1106,0,0,0,0,0,0,898,7853,8894,41,8458,921
160,1105,0,0,1,0,0,0,898,7853,8895,41,8458,921
161,1105,0,0,0,0,0,0,898,7853,8895,41,8458,921
162,1105,0,0,0,0,0,0,898,7853,8895,41,8458,921
163,1105,0,0,0,0,0,0,898,7853,8895,41,8458,921
164,1105,2,0,0,0,0,0,900,7853,8895,41,8458,921
165,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
166,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
167,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
168,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
169,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
170,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
171,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
172,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
173,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
174,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
175,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
176,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
177,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
178,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
179,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
180,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
181,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
182,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
183,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
184,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
185,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
186,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
187,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
188,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
189,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
190,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
191,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
192,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
193,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
194,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
195,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
196,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
197,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
198,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
199,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
200,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
201,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
202,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
203,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
204,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
205,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
206,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
207,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
208,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
209,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
210,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
211,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
212,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
213,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
214,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
215,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
216,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
217,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
218,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
219,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
220,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
221,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
222,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
223,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
224,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
225,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
226,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
227,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
228,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
229,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921
230,1105,0,0,0,0,0,0,900,7853,8895,41,8458,921